,,type 1,type 1,type 2,type 2,type 3,type 3,type 4,type 4,type 5,type 5
size in,depth of cover ft,total calculated thickness in,pressure class,total calculated thickness in,pressure class,total calculated thickness in,pressure class,total calculated thickness in,pressure class,total calculated thickness in,pressure class
3,2.5,0.18,350,0.17,350,0.17,350,0.16,350,0.15,350
,3,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,4,0.17,350,0.16,350,0.16,350,0.15,350,0.14,350
,5,0.17,350,0.16,350,0.16,350,0.15,350,0.14,350
,6,0.17,350,0.16,350,0.16,350,0.15,350,0.14,350
,7,0.17,350,0.16,350,0.16,350,0.15,350,0.14,350
,8,0.17,350,0.16,350,0.16,350,0.15,350,0.14,350
,9,0.17,350,0.16,350,0.16,350,0.15,350,0.15,350
,10,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,12,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,14,0.18,350,0.17,350,0.17,350,0.16,350,0.15,350
,16,0.19,350,0.18,350,0.17,350,0.16,350,0.15,350
,20,0.19,350,0.19,350,0.18,350,0.16,350,0.15,350
,24,0.2,350,0.19,350,0.19,350,0.17,350,0.15,350
,28,0.21,350,0.2,350,0.19,350,0.18,350,0.15,350
,32,0.21,350,0.2,350,0.2,350,0.18,350,0.16,350
4,2.5,0.19,350,0.18,350,0.17,350,0.16,350,0.15,350
,3,0.19,350,0.18,350,0.17,350,0.16,350,0.15,350
,4,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,5,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,6,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,7,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,8,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,9,0.18,350,0.17,350,0.16,350,0.15,350,0.15,350
,10,0.18,350,0.17,350,0.16,350,0.16,350,0.15,350
,12,0.19,350,0.18,350,0.17,350,0.16,350,0.15,350
,14,0.19,350,0.18,350,0.17,350,0.16,350,0.15,350
,16,0.2,350,0.19,350,0.18,350,0.16,350,0.15,350
,20,0.21,350,0.2,350,0.19,350,0.17,350,0.15,350
,24,0.21,350,0.21,350,0.2,350,0.18,350,0.16,350
,28,0.22,350,0.21,350,0.2,350,0.19,350,0.16,350
,32,0.23,350,0.22,350,0.21,350,0.19,350,0.16,350
6,2.5,0.22,350,0.2,350,0.19,350,0.17,350,0.16,350
,3,0.21,350,0.19,350,0.18,350,0.17,350,0.15,350
,4,0.2,350,0.18,350,0.17,350,0.16,350,0.15,350
,5,0.19,350,0.18,350,0.17,350,0.16,350,0.15,350
,6,0.19,350,0.18,350,0.17,350,0.16,350,0.15,350
,7,0.2,350,0.18,350,0.17,350,0.16,350,0.15,350
,8,0.2,350,0.18,350,0.17,350,0.16,350,0.15,350
,9,0.2,350,0.19,350,0.18,350,0.16,350,0.15,350
,10,0.21,350,0.19,350,0.18,350,0.16,350,0.15,350
,12,0.21,350,0.2,350,0.18,350,0.17,350,0.16,350
,14,0.22,350,0.2,350,0.19,350,0.17,350,0.16,350
,16,0.23,350,0.21,350,0.2,350,0.17,350,0.16,350
,20,0.24,350,0.22,350,0.21,350,0.18,350,0.16,350
,24,0.25,350,0.24,350,0.22,350,0.19,350,0.17,350
,28,,,0.25,350,0.23,350,0.21,350,0.17,350
,32,,,,,0.24,350,0.22,350,0.17,350
8,2.5,0.24,350,0.22,350,0.21,350,0.18,350,0.16,350
,3,0.23,350,0.21,350,0.19,350,0.17,350,0.16,350
,4,0.22,350,0.2,350,0.18,350,0.17,350,0.16,350
,5,0.21,350,0.19,350,0.18,350,0.17,350,0.16,350
,6,0.21,350,0.19,350,0.18,350,0.17,350,0.16,350
,7,0.21,350,0.2,350,0.18,350,0.17,350,0.16,350
,8,0.22,350,0.2,350,0.19,350,0.17,350,0.16,350
,9,0.22,350,0.2,350,0.19,350,0.17,350,0.16,350
,10,0.23,350,0.21,350,0.19,350,0.17,350,0.16,350
,12,0.24,350,0.22,350,0.2,350,0.18,350,0.16,350
,14,0.25,350,0.23,350,0.21,350,0.18,350,0.16,350
,16,0.25,350,0.24,350,0.22,350,0.19,350,0.17,350
,20,,,0.25,350,0.23,350,0.2,350,0.17,350
,24,,,,,0.25,350,0.21,350,0.17,350
,28,,,,,,,0.23,350,0.18,350
,32,,,,,,,0.25,350,0.19,350
10,2.5,,,0.25,350,0.23,350,0.2,350,0.18,350
,3,0.26,350,0.24,350,0.22,350,0.19,350,0.18,350
,4,0.25,350,0.22,350,0.21,350,0.19,350,0.17,350
,5,0.24,350,0.22,350,0.2,350,0.18,350,0.17,350
,6,0.24,350,0.22,350,0.2,350,0.18,350,0.17,350
,7,0.24,350,0.22,350,0.2,350,0.19,350,0.17,350
,8,0.25,350,0.22,350,0.21,350,0.19,350,0.17,350
,9,0.25,350,0.23,350,0.21,350,0.19,350,0.17,350
,10,0.26,350,0.23,350,0.21,350,0.19,350,0.17,350
,12,,,0.24,350,0.22,350,0.2,350,0.18,350
,14,,,0.26,350,0.23,350,0.2,350,0.18,350
,16,,,,,0.24,350,0.21,350,0.18,350
,20,,,,,,,0.22,350,0.19,350
,24,,,,,,,0.24,350,0.19,350
,28,,,,,,,0.26,350,0.2,350
,32,,,,,,,,,0.21,350
12,2.5,,,0.27,350,0.25,350,0.21,350,0.19,350
,3,0.28,350,0.25,350,0.23,350,0.2,350,0.18,350
,4,0.26,350,0.24,350,0.22,350,0.19,350,0.18,350
,5,0.26,350,0.23,350,0.21,350,0.19,350,0.18,350
,6,0.26,350,0.23,350,0.21,350,0.19,350,0.18,350
,7,0.26,350,0.23,350,0.21,350,0.19,350,0.18,350
,8,0.27,350,0.24,350,0.22,350,0.2,350,0.18,350
,9,0.27,350,0.24,350,0.22,350,0.2,350,0.18,350
,10,0.28,350,0.25,350,0.23,350,0.2,350,0.18,350
,12,,,0.26,350,0.24,350,0.21,350,0.18,350
,14,,,0.28,350,0.25,350,0.21,350,0.19,350
,16,,,,,0.26,350,0.22,350,0.19,350
,20,,,,,,,0.24,350,0.2,350
,24,,,,,,,0.26,350,0.2,350
,28,,,,,,,0.28,350,0.21,350
,32,,,,,,,,,0.23,350
14,2.5,,,0.29,300,0.26,250,0.23,250,0.2,250
,3,,,0.28,250,0.25,250,0.22,250,0.2,250
,4,,,0.26,250,0.24,250,0.21,250,0.19,250
,5,,,0.25,250,0.23,250,0.21,250,0.19,250
,6,,,0.25,250,0.23,250,0.21,250,0.19,250
,7,,,0.26,250,0.24,250,0.21,250,0.19,250
,8,,,0.26,250,0.24,250,0.21,250,0.19,250
,9,,,0.27,250,0.24,250,0.22,250,0.19,250
,10,,,0.28,250,0.25,250,0.22,250,0.2,250
,12,,,0.29,300,0.26,250,0.23,250,0.2,250
,14,,,0.31,350,0.28,250,0.23,250,0.2,250
,16,,,,,0.29,300,0.24,250,0.21,250
,20,,,,,,,0.26,250,0.21,250
,24,,,,,,,0.29,300,0.22,250
,28,,,,,,,,,0.25,250
,32,,,,,,,,,0.27,250
16,2.5,,,0.31,300,0.27,250,0.23,250,0.21,250
,3,,,0.29,250,0.26,250,0.23,250,0.2,250
,4,,,0.27,250,0.25,250,0.22,250,0.2,250
,5,,,0.27,250,0.24,250,0.22,250,0.2,250
,6,,,0.27,250,0.24,250,0.22,250,0.2,250
,7,,,0.27,250,0.25,250,0.22,250,0.2,250
,8,,,0.28,250,0.25,250,0.22,250,0.2,250
,9,,,0.28,250,0.26,250,0.22,250,0.2,250
,10,,,0.29,250,0.26,250,0.23,250,0.2,250
,12,,,0.31,300,0.28,250,0.24,250,0.21,250
,14,,,0.33,350,0.29,250,0.24,250,0.21,250
,16,,,,,0.31,300,0.25,250,0.21,250
,20,,,,,0.34,350,0.28,250,0.22,250
,24,,,,,,,0.3,250,0.24,250
,28,,,,,,,0.34,350,0.27,250
,32,,,,,,,,,0.29,250
18,2.5,,,0.32,300,0.28,250,0.24,250,0.21,250
,3,,,0.3,250,0.27,250,0.23,250,0.21,250
,4,,,0.28,250,0.26,250,0.23,250,0.2,250
,5,,,0.28,250,0.25,250,0.22,250,0.2,250
