Size in.,Pressure Class psi,Thickness in.,Type 1,Type 2,Type 3,Type 4,Type 5
3,350,0.25,78,88,99,100,100
4,350,0.25,53,61,69,85,100
6,350,0.25,26,31,37,47,65
8,350,0.25,16,20,25,34,50
10,350,0.26,11,15,19,28,45
12,350,0.28,10,15,19,28,44
14,250,0.28,,11,15,23,36
,300,0.3,,13,17,26,42
,350,0.31,,14,19,27,44
16,250,0.3,,11,15,2.4,34
,300,0.32,,13,17,26,39
,350,0.34,,15,20,28,44
18,250,0.31,,10,14,22,31
,300,0.34,,13,17,26,36
,360,0.36,,15,19,28,41
20,250,0.33,,10,14,22,30
,300,0.36,,13,17,26,35
,350,0.38,,15,19,28,38
24,200,0.33,,8,12,17,25
,250,0.37,,11,15,20,29
,300,0.4,,13,17,24,32
,350,0.43,,15,19,28,37
30,150,0.34,,,9,14,22
,200,0.38,,8,1.2,16,24
,250,0.42,,11,15,19,27
,300,0.45,,12,16,2.1,29
,350,0.49,,15,19,25,33
36,150,0.38,,,9,14,21
,200,0.42,,8,12,15,23
,250,0.47,,10,14,18,25
,300,0.51,,12,16,20,28
,350,0.56,,15,19,24,32
42,150,0.41,,,9,13,20
,200,0.47,,8,12,15,22
,250,0.52,,10,14,17,25
,300,0.57,,12,16,20,27
,350,0.63,,15,19,23,32
48,150,0.46,,,9,13,20
,200,0.52,,8,11,15,22
,250,0.58,,10,13,17,24
,300,0.64,,12,15,19,27
,350,0.7,,15,18,22,30
54,150,0.51,,,9,13,20
,200,0.58,,8,11,14,22
,250,0.65,,10,13,16,24
,300,0.72,,13,15,19,27
,350,0.79,,15,18,22,30
60,150,0.54,,5,9,13,20
,200,0.61,,8,11,14,22
,250,0.68,,10,13,16,24
,300,0.76,,13,15,19,26
,350,0.83,,15,18,22,30
64,150,0.56,,5,9,13,20
,200,0.64,,8,11,14,21
,250,0.72,,10,13,16,24
,300,0.8,,12,15,19,26
,350,0.87,,15,17,21,29
