Depth of cover ft,3,4,6,8,10,12,14,16,18,20,24,30,36,42,48,54,60,64
2.5,0.0589,0.0713,0.102,0.1328,0.1615,0.1901,0.2178,0.2443,0.2698,0.2941,0.339,0.3962,0.4437,0.4813,0.5115,0.5366,0.5488,0.5592
3,0.0437,0.053,0.0759,0.099,0.1207,0.1424,0.1637,0.1843,0.2044,0.2237,0.2602,0.3085,0.3507,0.3857,0.4153,0.4412,0.4543,0.4657
4,0.0265,0.0321,0.046,0.0602,0.0736,0.0871,0.1005,0.1136,0.1265,0.1391,0.1635,0.1972,0.2284,0.2559,0.2808,0.304,0.3164,0.3277
5,0.0176,0.0213,0.0306,0.0401,0.049,0.0581,0.0672,0.0761,0.0849,0.0936,0.1106,0.1347,0.1576,0.1786,0.1982,0.2173,0.2278,0.2377
6,0.0125,0.0151,0.0217,0.0284,0.0348,0.0413,0.0478,0.0542,0.0606,0.0669,0.0793,0.097,0.1143,0.1304,0.1458,0.1612,0.1698,0.1781
7,0.0093,0.0113,0.0162,0.0212,0.026,0.0308,0.0357,0.0405,0.0453,0.05,0.0594,0.073,0.0863,0.0988,0.1111,0.1235,0.1306,0.1374
8,0.0072,0.0087,0.0125,0.0164,0.0201,0.0238,0.0276,0.0313,0.035,0.0387,0.0461,0.0567,0.0672,0.0773,0.0871,0.0973,0.1031,0.1088
9,0.0057,0.0069,0.0099,0.013,0.016,0.019,0.0219,0.0249,0.0279,0.0309,0.0367,0.0453,0.0538,0.062,0.07,0.0784,0.0833,0.088
10,0.0046,0.0056,0.0081,0.0106,0.013,0.0154,0.0179,0.0203,0.0227,0.0251,0.0299,0.037,0.044,0.0507,0.0574,0.0644,0.0685,0.0725
12,0.0032,0.0039,0.0056,0.0074,0.0091,0.0108,0.0125,0.0142,0.0159,0.0176,0.021,0.0259,0.0309,0.0357,0.0405,0.0456,0.0486,0.0515
14,0.0024,0.0029,0.0042,0.0055,0.0067,0.008,0.0092,0.0105,0.0117,0.013,0.0155,0.0192,0.0229,0.0265,0.0301,0.0339,0.0362,0.0384
16,0.0018,0.0022,0.0032,0.0042,0.0051,0.0061,0.0071,0.008,0.009,0.01,0.0119,0.0147,0.0176,0.0204,0.0232,0.0262,0.0279,0.0297
20,0.0012,0.0014,0.002,0.0027,0.0033,0.0039,0.0045,0.0052,0.0058,0.0064,0.0076,0.0095,0.0113,0.0131,0.0149,0.0169,0.0181,0.0192
24,0.0008,0.001,0.0014,0.0019,0.0023,0.0027,0.0032,0.0036,0.004,0.0045,0.0053,0.0066,0.0079,0.0091,0.0104,0.0118,0.0126,0.0134
28,0.0006,0.0007,0.001,0.0014,0.0017,0.002,0.0023,0.0026,0.003,0.0033,0.0039,0.0049,0.0058,0.0067,0.0077,0.0087,0.0093,0.0099
32,0.0005,0.0006,0.0008,0.0011,0.0013,0.0015,0.0018,0.002,0.0023,0.0025,0.003,0.0037,0.0044,0.0052,0.0059,0.0067,0.0071,0.0076
