Bending Stress Design,Deflection Design,Dt
3.25,7.26,310
3.29,7.27,308
3.33,7.27,306
3.37,7.27,304
3.41,7.28,302
3.45,7.28,300
3.49,7.28,298
3.54,7.29,296
3.58,7.29,294
3.63,7.3,292
3.67,7.3,290
3.72,7.3,288
3.76,7.31,286
3.81,7.31,284
3.86,7.32,282
3.91,7.32,280
3.96,7.33,278
4.01,7.33,276
4.06,7.34,274
4.11,7.34,272
4.17,7.35,270
4.22,7.35,268
4.28,7.36,266
4.33,7.36,264
4.39,7.37,262
4.45,7.38,260
4.51,7.38,258
4.57,7.39,256
4.63,7.39,254
4.69,7.4,252
4.76,7.41,250
4.82,7.42,248
4.89,7.42,246
4.96,7.43,244
5.03,7.44,242
5.1,7.45,240
5.17,7.46,238
5.24,7.47,236
5.31,7.48,234
5.39,7.48,232
5.47,7.49,230
5.54,7.51,228
5.62,7.52,226
5.7,7.53,224
5.79,7.54,222
5.87,7.55,220
5.96,7.56,218
6.04,7.58,216
6.13,7.59,214
6.22,7.6,212
6.32,7.62,210
6.41,7.63,208
6.51,7.65,206
6.6,7.66,204
6.7,7.68,202
6.8,7.7,200
6.91,7.72,198
7.01,7.74,196
7.12,7.76,194
7.22,7.78,192
7.33,7.8,190
7.45,7.82,188
7.56,7.84,186
7.68,7.87,184
7.8,7.89,182
7.92,7.92,180
8.04,7.95,178
8.16,7.98,176
8.29,8.01,174
8.42,8.04,172
8.55,8.07,170
8.62,8.09,169
8.69,8.11,168
8.75,8.13,167
8.82,8.14,166
8.89,8.16,165
8.96,8.18,164
9.03,8.2,163
9.1,8.22,162
9.17,8.24,161
9.25,8.27,160
9.32,8.29,159
9.39,8.31,158
9.47,8.33,157
9.54,8.36,156
9.62,8.38,155
9.69,8.41,154
9.77,8.43,153
9.85,8.46,152
9.92,8.49,151
10,8.52,150
10.08,8.54,149
10.16,8.57,148
10.24,8.6,147
10.33,8.64,146
10.41,8.67,145
10.49,8.7,144
10.58,8.73,143
10.66,8.77,142
10.75,8.81,141
10.83,8.84,140
10.92,8.88,139
11.01,8.92,138
11.1,8.96,137
11.19,9,136
11.28,9.04,135
11.37,9.09,134
11.46,9.13,133
11.56,9.18,132
11.65,9.23,131
11.75,9.28,130
11.84,9.33,129
11.94,9.38,128
12.04,9.44,127
12.14,9.49,126
12.25,9.55,125
12.35,9.61,124
12.45,9.67,123
12.56,9.74,122
12.67,9.8,121
12.78,9.87,120
12.89,9.94,119
13,10.02,118
13.11,10.09,117
13.23,10.17,116
13.34,10.25,115
13.46,10.34,114
13.58,10.42,113
13.71,10.51,112
13.83,10.61,111
13.96,10.71,110
14.09,10.81,109
14.22,10.91,108
14.36,11.02,107
14.5,11.13,106
14.64,11.25,105
14.78,11.37,104
14.93,11.5,103
15.08,11.63,102
15.23,11.77,101
15.39,11.91,100
15.55,12.06,99
15.71,12.21,98
15.88,12.37,97
16.06,12.54,96
16.23,12.72,95
16.42,12.9,94
16.61,13.09,93
16.8,13.29,92
17,13.5,91
17.21,13.72,90
17.42,13.95,89
17.64,14.18,88
17.86,14.43,87
18.1,14.7,86
18.34,14.97,85
18.59,15.26,84
18.85,15.56,83
19.12,15.88,82
19.4,16.21,81
19.68,16.56,80
19.99,16.93,79
20.3,17.31,78
20.62,17.72,77
20.96,18.15,76
21.31,18.61,75
21.68,19.09,74
22.07,19.59,73
22.47,20.13,72
22.88,20.69,71
23.32,21.29,70
23.78,21.93,69
24.26,22.6,68
24.76,23.32,67
25.29,24.08,66
25.85,24.88,65
26.43,25.74,64
27.04,26.66,63
27.68,27.64,62
28.36,28.68,61
29.08,29.8,60
29.83,30.99,59
30.63,32.27,58
31.47,33.64,57
32.36,35.12,56
33.31,36.7,55
34.3,38.41,54
35.37,40.25,53
36.49,42.24,52
37.69,44.39,51
38.97,46.72,50
40.33,49.25,49
41.78,51.99,48
43.33,54.98,47
44.98,58.25,46
46.76,61.81,45
48.66,65.72,44
50.71,70.01,43
52.91,74.72,42
55.28,79.92,41
57.84,85.67,40
60.61,92.04,39
63.61,99.11,38
66.86,106.99,37
70.4,115.8,36
74.27,125.67,35
78.49,136.78,34
83.11,149.32,33
88.19,163.54,32
93.79,179.71,31
